name,rating,games_played,games_won,matches_played,matches_won,winrate,game_winrate
4c Allies,1530.9,4,4,2,2,100%,100%
Temur Battlecrier,1530.5,4,4,2,2,100%,100%
Animals,1516.0,2,2,1,1,100%,100%
Temur Lessons,1516.0,2,2,1,1,100%,100%
Graveyard Discount,1513.5,16,9,6,3,50%,56%
Izzet Lessons,1509.1,3,2,1,1,100%,67%
Bunnies,1508.0,3,2,1,1,100%,67%
Draw Two,1507.6,5,3,2,1,50%,60%
Sultai Reanimator,1507.2,3,2,1,1,100%,67%
Zuko Exile,1505.5,9,5,4,2,50%,56%
EoE Artifact Sac,1500.7,4,2,2,1,50%,50%
Earthbend,1500.7,4,2,2,1,50%,50%
Firebending Aggro,1489.9,3,1,1,0,0%,33%
Golgari Earthbend,1486.2,8,3,3,1,33%,38%
WarpBlink,1485.5,4,1,2,0,0%,25%
Azula,1483.3,2,0,1,0,0%,0%
Waterbend,1477.1,7,2,3,1,33%,29%
Ozai Firebend,1468.0,8,2,3,0,0%,25%
Undergrowth,1464.3,9,2,4,1,25%,22%
